1713270640794 - consume, rti_index: 4
1713270640794 - supply_from_location, rti_index: 1
1713270640794 - supply_constant, rti_index: 2
1713270640795 - react, rti_index: 7
1713270640795 - consume, rti_index: 8
1713270640795 - sink, rti_index: 9
1713270640795 - react, rti_index: 3
1713270640795 - consume, rti_index: 4
1713270640795 - supply_from_location, rti_index: 1
1713270640795 - consume, rti_index: 6
1713270640795 - supply_from_location, rti_index: 2
1713270640795 - react, rti_index: 8
1713270640795 - consume, rti_index: 9
1713270640795 - sink, rti_index: 10
1713270640795 - supply_from_location, rti_index: 1
1713270640795 - lookup, rti_index: 0
1713270640795 - supply_from_location, rti_index: 1
1713270640796 - supply_from_location, rti_index: 2
1713270640796 - react, rti_index: 3
1713270640796 - consume, rti_index: 4
1713270640796 - supply_from_location, rti_index: 1
1713270640796 - supply_constant, rti_index: 2
1713270640796 - react, rti_index: 7
1713270640796 - consume, rti_index: 8
1713270640796 - sink, rti_index: 9
1713270640796 - react, rti_index: 1
1713270640796 - supply_from_location, rti_index: 1
1713270640796 - lookup, rti_index: 0
1713270640796 - supply_from_location, rti_index: 1
1713270640796 - supply_from_location, rti_index: 2
1713270640796 - react, rti_index: 3
1713270640797 - consume, rti_index: 4
1713270640797 - supply_from_location, rti_index: 1
1713270640797 - supply_constant, rti_index: 2
1713270640797 - react, rti_index: 7
1713270640797 - consume, rti_index: 8
1713270640797 - sink, rti_index: 9
1713270640797 - react, rti_index: 3
1713270640797 - consume, rti_index: 4
1713270640797 - supply_from_location, rti_index: 1
1713270640797 - consume, rti_index: 6
1713270640797 - supply_from_location, rti_index: 2
1713270640797 - react, rti_index: 8
1713270640797 - consume, rti_index: 9
1713270640797 - sink, rti_index: 10
1713270640798 - supply_from_location, rti_index: 1
1713270640798 - lookup, rti_index: 0
1713270640798 - supply_from_location, rti_index: 1
1713270640798 - supply_from_location, rti_index: 2
1713270640798 - react, rti_index: 3
1713270640798 - consume, rti_index: 4
1713270640798 - supply_from_location, rti_index: 1
1713270640798 - supply_constant, rti_index: 2
1713270640798 - react, rti_index: 7
1713270640798 - consume, rti_index: 8
1713270640798 - sink, rti_index: 9
1713270640798 - react, rti_index: 1
1713270640799 - supply_from_location, rti_index: 1
1713270640799 - lookup, rti_index: 0
1713270640799 - supply_from_location, rti_index: 1
1713270640799 - supply_from_location, rti_index: 2
1713270640799 - react, rti_index: 3
1713270640799 - consume, rti_index: 4
1713270640799 - supply_from_location, rti_index: 1
1713270640799 - supply_constant, rti_index: 2
1713270640799 - react, rti_index: 7
1713270640799 - consume, rti_index: 8
1713270640799 - sink, rti_index: 9
1713270640799 - react, rti_index: 3
1713270640799 - consume, rti_index: 4
1713270640799 - supply_from_location, rti_index: 1
1713270640800 - consume, rti_index: 6
1713270640800 - supply_from_location, rti_index: 2
1713270640800 - react, rti_index: 8
1713270640800 - consume, rti_index: 9
1713270640800 - sink, rti_index: 10
1713270640800 - supply_from_location, rti_index: 1
1713270640800 - lookup, rti_index: 0
1713270640800 - supply_from_location, rti_index: 1
1713270640800 - supply_from_location, rti_index: 2
1713270640801 - react, rti_index: 3
1713270640801 - consume, rti_index: 4
1713270640801 - supply_from_location, rti_index: 1
1713270640801 - supply_constant, rti_index: 2
1713270640801 - react, rti_index: 7
1713270640801 - consume, rti_index: 8
1713270640801 - sink, rti_index: 9
1713270640801 - react, rti_index: 1
1713270640801 - supply_from_location, rti_index: 1
1713270640802 - lookup, rti_index: 0
1713270640802 - supply_from_location, rti_index: 1
1713270640802 - supply_from_location, rti_index: 2
1713270640802 - react, rti_index: 3
1713270640802 - consume, rti_index: 4
1713270640802 - supply_from_location, rti_index: 1
1713270640802 - supply_constant, rti_index: 2
1713270640802 - react, rti_index: 7
1713270640802 - consume, rti_index: 8
1713270640802 - sink, rti_index: 9
1713270640802 - react, rti_index: 3
1713270640803 - consume, rti_index: 4
1713270640803 - supply_from_location, rti_index: 1
1713270640803 - consume, rti_index: 6
1713270640803 - supply_from_location, rti_index: 2
1713270640803 - react, rti_index: 8
1713270640803 - consume, rti_index: 9
1713270640803 - sink, rti_index: 10
1713270640803 - supply_from_location, rti_index: 1
1713270640803 - lookup, rti_index: 0
1713270640803 - supply_from_location, rti_index: 1
1713270640803 - supply_from_location, rti_index: 2
1713270640804 - react, rti_index: 3
1713270640804 - consume, rti_index: 4
1713270640804 - supply_from_location, rti_index: 1
1713270640804 - supply_constant, rti_index: 2
1713270640804 - react, rti_index: 7
1713270640804 - consume, rti_index: 8
1713270640804 - sink, rti_index: 9
1713270640804 - react, rti_index: 1
1713270640804 - supply_from_location, rti_index: 1
1713270640804 - lookup, rti_index: 0
1713270640804 - supply_from_location, rti_index: 1
1713270640805 - supply_from_location, rti_index: 2
1713270640805 - react, rti_index: 3
1713270640805 - consume, rti_index: 4
1713270640805 - supply_from_location, rti_index: 1
1713270640805 - supply_constant, rti_index: 2
1713270640805 - react, rti_index: 7
1713270640805 - consume, rti_index: 8
1713270640805 - sink, rti_index: 9
1713270640805 - react, rti_index: 3
1713270640805 - consume, rti_index: 4
1713270640805 - supply_from_location, rti_index: 1
1713270640805 - consume, rti_index: 6
1713270640805 - supply_from_location, rti_index: 2
1713270640805 - react, rti_index: 8
1713270640805 - consume, rti_index: 9
1713270640806 - sink, rti_index: 10
1713270640806 - supply_from_location, rti_index: 1
1713270640806 - lookup, rti_index: 0
1713270640806 - supply_from_location, rti_index: 1
1713270640806 - supply_from_location, rti_index: 2
1713270640806 - react, rti_index: 3
1713270640806 - consume, rti_index: 4
1713270640806 - supply_from_location, rti_index: 1
1713270640806 - supply_constant, rti_index: 2
1713270640806 - react, rti_index: 7
1713270640806 - consume, rti_index: 8
1713270640806 - sink, rti_index: 9
1713270640806 - react, rti_index: 1
1713270640806 - supply_from_location, rti_index: 1
1713270640807 - lookup, rti_index: 0
1713270640807 - supply_from_location, rti_index: 1
1713270640807 - supply_from_location, rti_index: 2
1713270640807 - react, rti_index: 3
1713270640807 - consume, rti_index: 4
1713270640807 - supply_from_location, rti_index: 1
1713270640807 - supply_constant, rti_index: 2
1713270640807 - react, rti_index: 7
1713270640807 - consume, rti_index: 8
1713270640807 - sink, rti_index: 9
1713270640807 - react, rti_index: 3
1713270640807 - consume, rti_index: 4
1713270640807 - supply_from_location, rti_index: 1
1713270640807 - consume, rti_index: 6
1713270640807 - supply_from_location, rti_index: 2
1713270640807 - react, rti_index: 8
1713270640808 - consume, rti_index: 9
1713270640808 - sink, rti_index: 10
1713270640808 - supply_from_location, rti_index: 1
1713270640808 - lookup, rti_index: 0
1713270640808 - supply_from_location, rti_index: 1
1713270640808 - supply_from_location, rti_index: 2
1713270640808 - react, rti_index: 3
1713270640808 - consume, rti_index: 4
1713270640808 - supply_from_location, rti_index: 1
1713270640808 - supply_constant, rti_index: 2
1713270640808 - react, rti_index: 7
1713270640808 - consume, rti_index: 8
1713270640809 - sink, rti_index: 9
1713270640809 - react, rti_index: 1
1713270640809 - supply_from_location, rti_index: 1
1713270640809 - lookup, rti_index: 0
1713270640809 - supply_from_location, rti_index: 1
1713270640809 - supply_from_location, rti_index: 2
1713270640809 - react, rti_index: 3
1713270640809 - consume, rti_index: 4
1713270640809 - supply_from_location, rti_index: 1
1713270640809 - supply_constant, rti_index: 2
1713270640809 - react, rti_index: 7
1713270640809 - consume, rti_index: 8
1713270640809 - sink, rti_index: 9
1713270640809 - react, rti_index: 3
1713270640810 - consume, rti_index: 4
1713270640810 - supply_from_location, rti_index: 1
1713270640810 - consume, rti_index: 6
1713270640810 - supply_from_location, rti_index: 2
1713270640810 - react, rti_index: 8
1713270640810 - consume, rti_index: 9
1713270640810 - sink, rti_index: 10
1713270640810 - supply_from_location, rti_index: 1
1713270640810 - lookup, rti_index: 0
1713270640810 - supply_from_location, rti_index: 1
1713270640810 - supply_from_location, rti_index: 2
1713270640810 - react, rti_index: 3
1713270640810 - consume, rti_index: 4
1713270640811 - supply_from_location, rti_index: 1
1713270640811 - supply_constant, rti_index: 2
1713270640811 - react, rti_index: 7
1713270640811 - consume, rti_index: 8
1713270640811 - sink, rti_index: 9
1713270640811 - react, rti_index: 1
1713270640811 - supply_from_location, rti_index: 1
1713270640811 - lookup, rti_index: 0
1713270640811 - supply_from_location, rti_index: 1
1713270640811 - supply_from_location, rti_index: 2
1713270640811 - react, rti_index: 3
1713270640811 - consume, rti_index: 4
1713270640811 - supply_from_location, rti_index: 1
1713270640811 - supply_constant, rti_index: 2
1713270640811 - react, rti_index: 7
1713270640812 - consume, rti_index: 8
1713270640812 - sink, rti_index: 9
1713270640812 - react, rti_index: 3
1713270640812 - consume, rti_index: 4
1713270640812 - supply_from_location, rti_index: 1
1713270640812 - consume, rti_index: 6
1713270640812 - supply_from_location, rti_index: 2
1713270640812 - react, rti_index: 8
1713270640812 - consume, rti_index: 9
1713270640812 - sink, rti_index: 10
1713270640812 - supply_from_location, rti_index: 1
1713270640812 - lookup, rti_index: 0
1713270640812 - supply_from_location, rti_index: 1
1713270640813 - supply_from_location, rti_index: 2
1713270640813 - react, rti_index: 3
1713270640813 - consume, rti_index: 4
1713270640813 - supply_from_location, rti_index: 1
1713270640813 - supply_constant, rti_index: 2
1713270640813 - react, rti_index: 7
1713270640813 - consume, rti_index: 8
1713270640813 - sink, rti_index: 9
1713270640813 - react, rti_index: 1
1713270640813 - supply_from_location, rti_index: 1
1713270640813 - lookup, rti_index: 0
1713270640813 - supply_from_location, rti_index: 1
1713270640813 - supply_from_location, rti_index: 2
1713270640813 - react, rti_index: 3
1713270640813 - consume, rti_index: 4
1713270640813 - supply_from_location, rti_index: 1
1713270640813 - supply_constant, rti_index: 2
1713270640813 - react, rti_index: 7
1713270640813 - consume, rti_index: 8
1713270640813 - sink, rti_index: 9
1713270640813 - react, rti_index: 3
1713270640814 - consume, rti_index: 4
1713270640814 - supply_from_location, rti_index: 1
1713270640814 - consume, rti_index: 6
1713270640814 - supply_from_location, rti_index: 2
1713270640814 - react, rti_index: 8
1713270640814 - consume, rti_index: 9
1713270640814 - sink, rti_index: 10
1713270665952 - supply_from_location, rti_index: 1
1713270665952 - lookup, rti_index: 0
1713270665952 - supply_from_location, rti_index: 1
1713270665953 - supply_from_location, rti_index: 2
1713270665953 - react, rti_index: 3
1713270665953 - consume, rti_index: 4
1713270665953 - supply_from_location, rti_index: 1
1713270665953 - supply_constant, rti_index: 2
1713270665953 - react, rti_index: 7
1713270665953 - consume, rti_index: 8
1713270665954 - sink, rti_index: 9
1713270665954 - react, rti_index: 1
1713270665954 - supply_from_location, rti_index: 1
1713270665954 - lookup, rti_index: 0
1713270665954 - supply_from_location, rti_index: 1
1713270665954 - supply_from_location, rti_index: 2
1713270665954 - react, rti_index: 3
1713270665954 - consume, rti_index: 4
1713270665955 - supply_from_location, rti_index: 1
1713270665955 - supply_constant, rti_index: 2
1713270665955 - react, rti_index: 7
1713270665955 - consume, rti_index: 8
1713270665955 - sink, rti_index: 9
1713270665955 - react, rti_index: 3
1713270665955 - consume, rti_index: 4
1713270665955 - supply_from_location, rti_index: 1
1713270665955 - consume, rti_index: 6
1713270665956 - supply_from_location, rti_index: 2
1713270665956 - react, rti_index: 8
1713270665956 - consume, rti_index: 9
1713270665956 - sink, rti_index: 10
1713270665956 - supply_from_location, rti_index: 1
1713270665956 - lookup, rti_index: 0
1713270665956 - supply_from_location, rti_index: 1
1713270665956 - supply_from_location, rti_index: 2
1713270665956 - react, rti_index: 3
1713270665956 - consume, rti_index: 4
1713270665957 - supply_from_location, rti_index: 1
1713270665957 - supply_constant, rti_index: 2
1713270665957 - react, rti_index: 7
1713270665957 - consume, rti_index: 8
